,acousticness,instrumentalness,key,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Emotion
75,0.186,0.0,11,0.489,0.873,0.0,11,0.231,-5.401,0,0.308,77.556,1,0.581,0
76,0.0627,0.0,1,0.545,0.916,0.0,1,0.0658,-2.087,0,0.274,81.217,4,0.664,0
77,0.145,0.0,1,0.767,0.598,0.0,1,0.235,-5.235,1,0.217,90.48,4,0.867,0
78,0.201,1.07e-05,1,0.78,0.882,1.07e-05,1,0.15,-4.368,1,0.134,168.955,4,0.926,0
79,0.192,0.0,8,0.882,0.775,0.0,8,0.0937,-4.158,1,0.242,93.985,4,0.847,0
80,0.192,0.0,11,0.858,0.588,0.0,11,0.0587,-4.609,0,0.144,107.81,4,0.698,0
81,0.149,1.24e-05,4,0.703,0.775,1.24e-05,4,0.316,-5.576,0,0.067,95.0,4,0.573,0
82,0.196,2.75e-06,0,0.533,0.45,2.75e-06,0,0.147,-14.975,1,0.446,77.999,4,0.351,0
83,0.0943,0.0,2,0.814,0.85,0.0,2,0.0277,-6.112,1,0.394,184.587,3,0.717,0
84,0.0379,0.0,10,0.738,0.773,0.0,10,0.0627,-4.368,0,0.262,97.983,4,0.738,0
85,0.521,0.0,9,0.471,0.441,0.0,9,0.121,-8.459,0,0.251,85.705,4,0.169,0
86,0.105,0.0,1,0.833,0.729,0.0,1,0.105,-5.758,1,0.243,93.995,4,0.461,0
87,0.635,6.44e-06,5,0.694,0.752,6.44e-06,5,0.114,-3.071,0,0.26,82.529,4,0.474,0
88,0.405,0.0,9,0.867,0.692,0.0,9,0.671,-7.125,0,0.366,101.027,4,0.637,0
89,0.369,0.0,2,0.569,0.744,0.0,2,0.256,-5.757,0,0.181,145.063,4,0.59,0
90,0.118,0.0,0,0.68,0.659,0.0,0,0.107,-6.855,1,0.211,91.259,4,0.411,0
91,0.0218,7.66e-05,10,0.88,0.726,7.66e-05,10,0.389,-5.855,0,0.257,93.814,4,0.823,0
92,0.209,0.0,5,0.834,0.701,0.0,5,0.186,-6.132,0,0.213,96.682,4,0.828,0
93,0.013,0.00167,11,0.864,0.407,0.00167,11,0.103,-11.944,0,0.171,99.961,4,0.651,0
94,0.231,0.0,9,0.646,0.6,0.0,9,0.0794,-6.569,1,0.458,192.082,4,0.811,0
95,0.0668,0.0,7,0.854,0.692,0.0,7,0.247,-6.625,1,0.0479,101.865,4,0.753,0
96,0.0615,0.0,1,0.787,0.527,0.0,1,0.0656,-6.981,1,0.0512,133.107,4,0.807,0
97,0.623,0.118,1,0.63,0.432,0.118,1,0.348,-8.366,1,0.13,92.938,4,0.0718,0
98,0.22,0.718,1,0.785,0.793,0.718,1,0.124,-7.915,1,0.163,88.902,4,0.655,0
99,0.03,0.0,8,0.667,0.879,0.0,8,0.157,-4.197,1,0.359,119.746,5,0.71,0
100,0.472,0.0,9,0.889,0.816,0.0,9,0.204,-4.67,1,0.247,96.056,4,0.777,0
101,0.0152,0.0,10,0.883,0.649,0.0,10,0.0427,-5.485,0,0.231,93.962,4,0.521,0
102,0.781,0.0,1,0.515,0.699,0.0,1,0.185,-5.839,1,0.527,87.96,1,0.75,0
103,0.0612,0.000314,11,0.803,0.572,0.000314,11,0.167,-6.868,0,0.16,96.626,4,0.711,0
104,0.0117,0.000278,11,0.738,0.714,0.000278,11,0.422,-6.265,0,0.238,168.105,5,0.58,0
105,0.0167,0.0,2,0.644,0.801,0.0,2,0.0804,-5.525,1,0.23,100.8,4,0.721,0
106,0.244,0.0,10,0.542,0.64,0.0,10,0.0742,-7.018,0,0.425,88.831,4,0.551,0
107,0.491,2.01e-06,8,0.588,0.49,2.01e-06,8,0.0792,-7.397,1,0.444,180.593,4,0.808,0
108,0.117,0.0,0,0.826,0.412,0.0,0,0.0667,-7.821,1,0.274,92.004,4,0.649,0
109,0.29,2.39e-06,11,0.845,0.51,2.39e-06,11,0.114,-13.064,0,0.224,95.265,4,0.74,0
110,0.135,0.0339,5,0.78,0.754,0.0339,5,0.0467,-5.377,0,0.0949,82.395,4,0.81,0
111,0.0121,0.0,5,0.594,0.614,0.0,5,0.823,-6.091,0,0.0536,79.968,4,0.101,0
112,0.176,0.0,1,0.902,0.411,0.0,1,0.119,-5.311,1,0.217,84.07,4,0.667,0
113,0.00737,0.0,1,0.775,0.797,0.0,1,0.149,-5.181,1,0.287,90.32,4,0.788,0
114,0.151,7.85e-06,4,0.488,0.863,7.85e-06,4,0.32,-4.552,0,0.384,87.357,4,0.652,0
115,0.0789,0.000656,11,0.884,0.88,0.000656,11,0.0581,-7.959,0,0.136,100.787,4,0.821,0
116,0.0056,8.52e-05,1,0.862,0.689,8.52e-05,1,0.123,-6.633,1,0.252,98.915,4,0.638,0
117,0.0468,1.79e-06,8,0.805,0.754,1.79e-06,8,0.0855,-6.679,0,0.156,90.214,4,0.844,0
118,0.432,0.0,9,0.778,0.578,0.0,9,0.138,-7.22,0,0.274,84.487,4,0.758,0
119,0.0872,0.0,1,0.822,0.938,0.0,1,0.335,-5.561,1,0.154,103.739,4,0.767,0
120,0.0644,0.000156,0,0.715,0.97,0.000156,0,0.205,-2.206,1,0.0648,79.504,4,0.963,0
121,0.0503,0.0,1,0.934,0.49,0.0,1,0.181,-5.972,1,0.177,103.06,4,0.702,0
122,0.1,1.19e-05,6,0.788,0.522,1.19e-05,6,0.479,-13.346,1,0.447,82.922,4,0.801,0
123,0.212,4.6e-06,6,0.782,0.686,4.6e-06,6,0.801,-7.829,0,0.304,103.885,4,0.208,0
124,0.00267,0.0,11,0.74,0.776,0.0,11,0.27,-3.077,0,0.0367,86.569,4,0.74,0
125,0.222,0.0,7,0.787,0.72,0.0,7,0.633,-7.569,1,0.251,121.003,4,0.538,0
126,0.022,9.94e-06,2,0.734,0.864,9.94e-06,2,0.246,-6.119,1,0.303,105.933,4,0.47,0
127,0.401,6.29e-05,8,0.725,0.467,6.29e-05,8,0.104,-7.665,0,0.239,87.972,4,0.358,0
128,0.215,6.17e-06,6,0.467,0.555,6.17e-06,6,0.188,-7.53,1,0.0953,88.18,4,0.606,0
129,0.0603,0.0,0,0.738,0.593,0.0,0,0.112,-6.5,0,0.394,91.686,4,0.423,0
130,0.111,2.18e-06,1,0.71,0.452,2.18e-06,1,0.0637,-12.201,1,0.381,175.418,4,0.548,0
